,imdb_id,genres,region,averageRating,numVotes,backdrop_path,budget,original_language,overview,poster_path,release_date,revenue,runtime,tagline,url_trailer,mot_cle,popularity,title,originalTitle,vote_count,vote_average
1711,tt0089374,"Action,Comedy,Crime",FR,7.5,41763,https://image.tmdb.org/t/p/w500/eYDAnSidN4rIEuneS5gEJkTyk3l.jpg,0,cn,"Officer Chan Ka Kui manages to put a major Hong Kong drug dealer behind the bars practically alone, after a shooting and an impressive chase inside a slum. Now, he must protect the boss' secretary, Selina, who will testify against the gangster in court.",https://image.tmdb.org/t/p/w500/1ttiBVbzQl9eQ640JnNPHwfm7EZ.jpg,1985,113164,100,"You may know the name, but the game has changed.",,"['martial arts', 'kung fu', 'undercover', 'chase', 'gangster', 'fistfight', 'car crash', 'sword fight', 'murder', 'organized crime', 'police chase', 'hong kong', 'action hero', 'awestruck']",14.865,Police Story,Ging chaat goo si,825,7.518
1712,tt0089393,"Comedy,Romance",FR,6.5,17818,https://image.tmdb.org/t/p/w500/wXYv3mC6mZPVChHBMxF2tVILcLb.jpg,11500000,en,"When Terry Griffith loses her high school's writing competition, she's convinced that it's because she's a girl. So Terry decides to change high schools and pose as a boy to prove her point. Her brother, Buddy, helps her pass as a guy so well that she is soon making friends with the boys at school, including the attractive Rick, who becomes her new best friend. But her gender-swapping makes things difficult when she falls in love with him.",https://image.tmdb.org/t/p/w500/7ffvsRv8ueYYK0H3zocmNRPd8yN.jpg,1985,11528900,100,She's about to go where no girl has gone before!,,"['high school', 'adolescence', 'sexism', 'cross dressing', 'teen comedy', 'shakespeare in modern dress', 'woman director']",9.876,Fille ou garçon,Just One of the Guys,279,6.5
1713,tt0089461,"Action,Comedy,Drama",FR,6.8,17453,https://image.tmdb.org/t/p/w500/mEjVC4sox1uLdkZVM0wHXOsO1tE.jpg,10000000,en,"A young man searches for the ""master"" to obtain the final level of martial arts mastery known as the glow. Along the way he must fight an evil martial arts expert and rescue a beautiful singer from an obsessed music promoter.",https://image.tmdb.org/t/p/w500/iUfDbxQ93IZSHucaKMQgs4eejWG.jpg,1985,25754284,108,His family thinks he's crazy. His enemies think he's no challenge. But she knows he's THE LAST DRAGON.,,"['martial arts', 'kung fu', 'kidnapping', 'pop singer', 'pizzeria', 'limousine', 'martial arts master', 'martial artist', 'martial arts training', 'martial arts school', 'kung fu master', 'damsel in distress', 'harlem, new york city', 'tv host', ""hero's journey"", 'child martial arts']",8.26,Le Dernier Dragon,The Last Dragon,236,6.4
1714,tt0089470,"Action,Drama",FR,6.6,11636,https://image.tmdb.org/t/p/w500/el36qixAVc8C8QnaG1KtOq2dkww.jpg,0,en,"Average Texas teen, Billie Jean Davy, is caught up in an odd fight for justice. She is usually followed and harrased around by local boys, who, one day, decide to trash her brother's scooter for fun. The boys' father refuses to pay them back the price of the scooter. The fight for ""fair is fair"" takes the teens around the state and produces an unlikely hero.",https://image.tmdb.org/t/p/w500/x2u2YtbJ9XySs3MdaIly8Gfp66.jpg,1985,3099497,96,"When you're seventeen, people think they can do anything to you. Billie Jean is about to prove them wrong.",https://www.youtube.com/watch?v=0mBG-xjLw2I,"['sexual abuse', 'chase', 'runaway', 'texas', 'fugitive', 'girl heroine', 'female protagonist', 'false accusations', 'attempted rape', 'social justice', 'brother sister relationship', 'accidental shooting']",7.9,La légende de billie jean,The Legend of Billie Jean,168,6.536
1715,tt0089489,"Action,Horror,Mystery",FR,6.1,29411,https://image.tmdb.org/t/p/w500/8SnnGg0cqfa3bmorOERNrXvZ8Mn.jpg,25000000,en,A space shuttle mission investigating Halley's Comet brings back a malevolent race of space vampires who transform most of London's population into zombies. The only survivor of the expedition and British authorities attempt to capture a mysterious but beautiful alien woman who appears responsible.,https://image.tmdb.org/t/p/w500/953hMDf9G2ZRIEs97M6iFIYWtWF.jpg,1985,11603545,102,"In the Blink of An Eye, the Terror Begins.",,"['space marine', 'flying saucer', 'vampire', 'comet', 'alien', ""halley's comet""]",15.793,Lifeforce - L'étoile du mal,Lifeforce,555,6.271
1716,tt0089504,Comedy,FR,7.0,10185,https://image.tmdb.org/t/p/w500/7XpgGenPC31U3nsqIQPJCr8OdhY.jpg,0,en,"David and Linda Howard are successful yuppies from LA. When he gets a job disappointment, David convinces Linda that they should quit their jobs, liquidate their assets, and emulate the movie Easy Rider, spending the rest of their lives traveling around America...in a Winnebago.",https://image.tmdb.org/t/p/w500/j7QiwUekGiYOmjKratNORIr35zg.jpg,1985,10,91,A down to earth comedy,,"['new york city', 'gambling', 'yuppie', 'satire', 'roulette', 'winnebago', 'las vegas', 'fired from the job', 'recreational vehicle', 'road movie', 'hoover dam', 'crossing guard', 'nest egg']",6.029,Lost in America,Lost in America,136,6.879
1717,tt0089530,"Action,Adventure,Sci-Fi",FR,6.2,147411,https://image.tmdb.org/t/p/w500/cO8zcdPhLT3UdykkXCvfhIVrgHK.jpg,10000000,en,"Mad Max becomes a pawn in a decadent oasis of a technological society, and when exiled, becomes the deliverer of a colony of children.",https://image.tmdb.org/t/p/w500/jJlxcEVVUHnrUeEkQ0077VeHQpb.jpg,1985,36230219,107,Two men enter. One man leaves.,https://www.youtube.com/watch?v=-vl2G1rYk2A,"['australia', 'arena', 'dwarf', 'dictator', 'dystopia', 'sandstorm', 'post-apocalyptic future', 'villain', 'camel', 'tribe', 'ex-cop', 'oasis', 'sequel', 'wasteland', 'desert', 'adventurer', 'post nuclear', 'action hero', 'good versus evil']",31.328,Mad Max : Au-delà du dôme du tonnerre,Mad Max Beyond Thunderdome,2693,6.206
1718,tt0089555,"Biography,Drama",FR,6.7,1022,https://image.tmdb.org/t/p/w500/wK16A2JRPvhQ0COMBcLND0B2rE4.jpg,0,en,A single mother takes a job with the government where she is confronted with corruption.,https://image.tmdb.org/t/p/w500/ulZH8aa972yRBDnbbt07LCvHjDd.jpg,1985,0,112,Criminals went free. Officials were bribed. Witnesses were threatened. The F.B.I. couldn't stop it. One woman did. She challenged the State of Tennessee and put criminal justice on trial.,,"['corruption', 'biography', 'parole board', 'tennessee', 'political corruption']",2.422,Marie: justice criminelle,Marie,17,5.5
1719,tt0089560,"Biography,Drama",FR,7.2,32493,https://image.tmdb.org/t/p/w500/kbHimrBb0nmkT8ltUgcxim9ATca.jpg,7500000,en,A boy with a massive facial skull deformity and his biker gang mother attempts to live as normal a life as possible under the circumstances.,https://image.tmdb.org/t/p/w500/dBYzEETDHNyt12VCD5owVW6bpEC.jpg,1985,42400000,120,They told 16 year old Rocky Dennis he could never be like everyone else. So he was determined to be better.,,"['deformation', 'rocker', 'falling in love', 'single mother', 'disabled', 'body image', 'bikers', 'inner beauty']",11.909,Mask,Mask,416,7.189
1720,tt0089591,"Action,Comedy,Crime",FR,6.1,8193,https://image.tmdb.org/t/p/w500/u1580ih5kGEzsyxzq0EaMHKMZEC.jpg,0,it,"In 1978, $20 million was stolen from a Detroit bank. One of the robbers was caught, one was found dead, and the third disappeared. The money was never found. Seven years later, the robber who was caught was released from jail. He immediately went to Miami, only to be found dead the next day. Now FBI agents Doug Bennet and Steve Forest have been called in to investigate the case while posing as Miami police officers. Somewhere in Miami the third robber is hiding with his $20 million, and he has a seven-year head start on the authorities.",https://image.tmdb.org/t/p/w500/j0zfJkOfQr4DfcxjjeCVFjirKpu.jpg,1985,0,95,,,"['miami, florida', 'police', 'fight', 'fbi', 'bank robbery']",10.116,Les Super Flics de Miami,Miami Supercops,400,6.455
